ID,Geogname,Gender,Age,All Cancers,Head and Neck,Lip,Tongue,"Mouth, Other",Pharynx and Tonsil,Paranasal Sinuses,Larynx,Gastro - Intestinal,Esophagus,Stomach,Small Bowel,Colon and Rectum,Liver and Biliary Tract,Pancreas,Peritoneum and GI Unspecified,Respiratory,"Lung,Trachea and Bronchus","Mediastinum, Pleura",Breast,Breast2,Skin and Melanoma,Melanoma of Skin,Other Skin,Gynecological,Cervix,Body of Uterus,Ovary,Other Female Genital,Genito - Urinary,Testis,Penis and Male Genital Unspecified,Bladder,"Kidney, Ureter and Other Urinary",Lymphomas,Non-Hodgkin's Lymphoma,Hodgkin's Lymphoma,Hematologic,Multiple Myeloma,Leukemia,Miscellaneous Proliferative,Other,Eye and Lacrimal Gland,Brain,"Meninges, Spinal Cord and other CNS",Thyroid,Other Endocrine,Bone and Connective Tissue,Other and Ill Defined Sites,Unknown Primary,Prostate
15,Shelburne County,Total,35 - 64,70,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,15,0,5,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
16,Shelburne County,Total,65 -74,110,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,15,0,0,0,0,5,0,0,0,0,20,0,0,0,0,5,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
17,Shelburne County,Total,75 +,280,5,0,0,0,0,0,0,80,0,0,0,0,0,0,0,45,0,0,35,0,0,0,0,10,0,0,0,0,70,0,0,0,0,10,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0
18,Shelburne County,Total,Total,465,10,0,0,0,0,0,0,105,0,0,0,0,0,0,0,75,0,0,70,0,5,0,0,30,0,0,0,0,105,0,0,0,0,15,0,0,15,0,0,0,35,0,0,0,0,0,0,0,0,0
19,Yarmouth County,Female,0 - 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Yarmouth County,Female,20 - 34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Yarmouth County,Female,35 - 64,70,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,25,0,0,0,0,15,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Yarmouth County,Female,65 -74,70,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10,0,0,25,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Yarmouth County,Female,75 +,215,5,0,0,0,0,0,0,65,0,0,0,0,0,0,0,30,0,0,45,0,0,0,0,20,0,0,0,0,20,0,0,0,0,5,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0
24,Yarmouth County,Female,Total,360,5,0,0,0,0,0,0,95,0,0,0,0,0,0,0,45,0,0,95,0,5,0,0,40,0,0,0,0,25,0,0,0,0,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0
25,Yarmouth County,Male,0 - 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Yarmouth County,Male,20 - 34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Yarmouth County,Male,35 - 64,65,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Yarmouth County,Male,65 -74,75,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
29,Yarmouth County,Male,75 +,270,5,0,0,0,0,0,0,60,0,0,0,0,0,0,0,65,0,0,0,0,5,0,0,0,0,0,0,0,95,0,0,0,0,5,0,0,20,0,0,0,15,0,0,0,0,0,0,0,0,0
30,Yarmouth County,Male,Total,410,15,0,0,0,0,0,0,90,0,0,0,0,0,0,0,95,0,0,0,0,15,0,0,0,0,0,0,0,130,0,0,0,0,20,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0
31,Yarmouth County,Total,0 - 19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Yarmouth County,Total,20 - 34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Yarmouth County,Total,35 - 64,135,5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,15,0,0,25,0,5,0,0,15,0,0,0,0,25,0,0,0,0,10,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
34,Yarmouth County,Total,65 -74,145,5,0,0,0,0,0,0,35,0,0,0,0,0,0,0,30,0,0,25,0,5,0,0,5,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
35,Yarmouth County,Total,75 +,485,10,0,0,0,0,0,0,120,0,0,0,0,0,0,0,95,0,0,45,0,10,0,0,20,0,0,0,0,115,0,0,0,0,10,0,0,35,0,0,0,30,0,0,0,0,0,0,0,0,0
36,Yarmouth County,Total,Total,775,25,0,0,0,0,0,0,185,0,0,0,0,0,0,0,140,0,0,95,0,20,0,0,40,0,0,0,0,160,0,0,0,0,30,0,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0
37,Digby County,Female,0 - 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Digby County,Female,20 - 34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Digby County,Female,35 - 64,50,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,15,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
40,Digby County,Female,65 -74,45,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
41,Digby County,Female,75 +,190,5,0,0,0,0,0,0,45,0,0,0,0,0,0,0,40,0,0,40,0,5,0,0,15,0,0,0,0,10,0,0,0,0,5,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0
42,Digby County,Female,Total,290,5,0,0,0,0,0,0,55,0,0,0,0,0,0,0,50,0,0,70,0,10,0,0,30,0,0,0,0,10,0,0,0,0,10,0,0,15,0,0,0,35,0,0,0,0,0,0,0,0,0
43,Digby County,Male,0 - 19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Digby County,Male,20 - 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Digby County,Male,35 - 64,45,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Digby County,Male,65 -74,60,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,25,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
47,Digby County,Male,75 +,235,10,0,0,0,0,0,0,50,0,0,0,0,0,0,0,45,0,0,0,0,5,0,0,0,0,0,0,0,90,0,0,0,0,10,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0
48,Digby County,Male,Total,345,15,0,0,0,0,0,0,75,0,0,0,0,0,0,0,60,0,0,0,0,10,0,0,0,0,0,0,0,135,0,0,0,0,20,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0
49,Digby County,Total,0 - 19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
50,Digby County,Total,20 - 34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Digby County,Total,35 - 64,100,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,15,0,5,0,0,5,0,0,0,0,15,0,0,0,0,10,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
52,Digby County,Total,65 -74,105,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,15,0,0,15,0,5,0,0,5,0,0,0,0,30,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
53,Digby County,Total,75 +,425,15,0,0,0,0,0,0,95,0,0,0,0,0,0,0,85,0,0,40,0,10,0,0,15,0,0,0,0,100,0,0,0,0,15,0,0,20,0,0,0,35,0,0,0,0,0,0,0,0,0
54,Digby County,Total,Total,635,20,0,0,0,0,0,0,130,0,0,0,0,0,0,0,110,0,0,70,0,20,0,0,30,0,0,0,0,145,0,0,0,0,25,0,0,25,0,0,0,55,0,0,0,0,0,0,0,0,0
55,Queens County,Female,0 - 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Queens County,Female,20 - 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Queens County,Female,35 - 64,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Queens County,Female,65 -74,40,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Queens County,Female,75 +,125,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,25,0,0,30,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
60,Queens County,Female,Total,200,5,0,0,0,0,0,0,35,0,0,0,0,0,0,0,35,0,0,55,0,5,0,0,15,0,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0
61,Queens County,Male,0 - 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Queens County,Male,20 - 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Queens County,Male,35 - 64,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
64,Queens County,Male,65 -74,55,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Queens County,Male,75 +,155,5,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,5,0,0,0,0,0,0,0,60,0,0,0,0,5,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0
66,Queens County,Male,Total,240,15,0,0,0,0,0,0,35,0,0,0,0,0,0,0,45,0,0,0,0,5,0,0,0,0,0,0,0,95,0,0,0,0,15,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0
67,Queens County,Total,0 - 19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Queens County,Total,20 - 34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Queens County,Total,35 - 64,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,5,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
70,Queens County,Total,65 -74,95,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,5,0,0,0,0,25,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Queens County,Total,75 +,280,5,0,0,0,0,0,0,60,0,0,0,0,0,0,0,55,0,0,30,0,5,0,0,5,0,0,0,0,65,0,0,0,0,10,0,0,15,0,0,0,20,0,0,0,0,0,0,0,0,0
72,Queens County,Total,Total,440,20,0,0,0,0,0,0,75,0,0,0,0,0,0,0,80,0,0,55,0,10,0,0,15,0,0,0,0,105,0,0,0,0,25,0,0,20,0,0,0,35,0,0,0,0,0,0,0,0,0
73,Annapolis County,Female,0 - 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Annapolis County,Female,20 - 34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
75,Annapolis County,Female,35 - 64,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Annapolis County,Female,65 -74,60,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
77,Annapolis County,Female,75 +,195,5,0,0,0,0,0,0,50,0,0,0,0,0,0,0,30,0,0,40,0,5,0,0,20,0,0,0,0,15,0,0,0,0,5,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0
78,Annapolis County,Female,Total,310,10,0,0,0,0,0,0,60,0,0,0,0,0,0,0,40,0,0,90,0,5,0,0,35,0,0,0,0,15,0,0,0,0,15,0,0,15,0,0,0,30,0,0,0,0,0,0,0,0,0
79,Annapolis County,Male,0 - 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Annapolis County,Male,20 - 34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Annapolis County,Male,35 - 64,45,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
82,Annapolis County,Male,65 -74,85,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,5,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
83,Annapolis County,Male,75 +,255,10,0,0,0,0,0,0,50,0,0,0,0,0,0,0,55,0,0,0,0,5,0,0,0,0,0,0,0,95,0,0,0,0,10,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0
84,Annapolis County,Male,Total,390,15,0,0,0,0,0,0,70,0,0,0,0,0,0,0,70,0,0,0,0,15,0,0,0,0,0,0,0,150,0,0,0,0,25,0,0,20,0,0,0,25,0,0,0,0,0,0,0,0,0
85,Annapolis County,Total,0 - 19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Annapolis County,Total,20 - 34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
87,Annapolis County,Total,35 - 64,90,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,25,0,5,0,0,5,0,0,0,0,15,0,0,0,0,10,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
88,Annapolis County,Total,65 -74,145,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,0,0,25,0,0,0,0,10,0,0,0,0,40,0,0,0,0,10,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0
89,Annapolis County,Total,75 +,450,15,0,0,0,0,0,0,105,0,0,0,0,0,0,0,80,0,0,40,0,10,0,0,20,0,0,0,0,110,0,0,0,0,20,0,0,25,0,0,0,30,0,0,0,0,0,0,0,0,0
90,Annapolis County,Total,Total,700,25,0,0,0,0,0,0,125,0,0,0,0,0,0,0,110,0,0,90,0,20,0,0,35,0,0,0,0,165,0,0,0,0,35,0,0,35,0,0,0,55,0,0,0,0,0,0,0,0,0
91,Lunenburg County,Female,0 - 19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Lunenburg County,Female,20 - 34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Lunenburg County,Female,35 - 64,140,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,50,0,10,0,0,20,0,0,0,0,10,0,0,0,0,5,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0
94,Lunenburg County,Female,65 -74,140,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,45,0,10,0,0,15,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
95,Lunenburg County,Female,75 +,360,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,45,0,0,85,0,20,0,0,40,0,0,0,0,30,0,0,0,0,15,0,0,15,0,0,0,30,0,0,0,0,0,0,0,0,0
96,Lunenburg County,Female,Total,660,10,0,0,0,0,0,0,120,0,0,0,0,0,0,0,75,0,0,180,0,40,0,0,80,0,0,0,0,45,0,0,0,0,25,0,0,30,0,0,0,55,0,0,0,0,0,0,0,0,0
97,Lunenburg County,Male,0 - 19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
98,Lunenburg County,Male,20 - 34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Lunenburg County,Male,35 - 64,110,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0
100,Lunenburg County,Male,65 -74,170,10,0,0,0,0,0,0,25,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,0,0,0,75,0,0,0,0,5,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
101,Lunenburg County,Male,75 +,530,15,0,0,0,0,0,0,125,0,0,0,0,0,0,0,95,0,0,0,0,15,0,0,0,0,0,0,0,210,0,0,0,0,25,0,0,10,0,0,0,30,0,0,0,0,0,0,0,0,0
102,Lunenburg County,Male,Total,835,30,0,0,0,0,0,0,175,0,0,0,0,0,0,0,140,0,0,5,0,35,0,0,0,0,0,0,0,320,0,0,0,0,45,0,0,25,0,0,0,60,0,0,0,0,0,0,0,0,0
103,Lunenburg County,Total,0 - 19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
104,Lunenburg County,Total,20 - 34,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
105,Lunenburg County,Total,35 - 64,255,10,0,0,0,0,0,0,40,0,0,0,0,0,0,0,25,0,0,50,0,20,0,0,20,0,0,0,0,40,0,0,0,0,15,0,0,10,0,0,0,25,0,0,0,0,0,0,0,0,0
106,Lunenburg County,Total,65 -74,310,15,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,45,0,15,0,0,15,0,0,0,0,85,0,0,0,0,10,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0
107,Lunenburg County,Total,75 +,895,20,0,0,0,0,0,0,210,0,0,0,0,0,0,0,140,0,0,85,0,40,0,0,40,0,0,0,0,235,0,0,0,0,40,0,0,25,0,0,0,65,0,0,0,0,0,0,0,0,0
108,Lunenburg County,Total,Total,1495,40,0,0,0,0,0,0,295,0,0,0,0,0,0,0,215,0,0,185,0,80,0,0,80,0,0,0,0,365,0,0,0,0,70,0,0,55,0,0,0,110,0,0,0,0,0,0,0,0,0
109,Kings County,Female,0 - 19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Kings County,Female,20 - 34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
